raw=-6.4  eff=+6.4  active=None
raw=-6.1  eff=+6.1  active=1
raw=-6.0  eff=+6.0  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.9  eff=+5.9  active=1
raw=-6.0  eff=+6.0  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.8  eff=+5.8  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.8  eff=+5.8  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.8  eff=+5.8  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.8  eff=+5.8  active=1
raw=-5.8  eff=+5.8  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.8  eff=+5.8  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.5  eff=+5.5  active=1
raw=-5.5  eff=+5.5  active=1
raw=-5.5  eff=+5.5  active=1
raw=-5.5  eff=+5.5  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.4  eff=+5.4  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.5  eff=+5.5  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.6  eff=+5.6  active=1
raw=-5.4  eff=+5.4  active=1
raw=-5.4  eff=+5.4  active=1
raw=-5.5  eff=+5.5  active=1
raw=-5.2  eff=+5.2  active=1
raw=-5.0  eff=+5.0  active=1
raw=-5.2  eff=+5.2  active=1
raw=-5.5  eff=+5.5  active=1
raw=-6.0  eff=+6.0  active=1
raw=-6.0  eff=+6.0  active=1
raw=-5.9  eff=+5.9  active=1
raw=-6.0  eff=+6.0  active=1
raw=-6.0  eff=+6.0  active=1
raw=-6.1  eff=+6.1  active=1
raw=-6.0  eff=+6.0  active=1
raw=-6.2  eff=+6.2  active=1
raw=-6.3  eff=+6.3  active=1
raw=-6.0  eff=+6.0  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.9  eff=+5.9  active=1
raw=-5.7  eff=+5.7  active=1
raw=-5.1  eff=+5.1  active=1
raw=-4.8  eff=+4.8  active=1
raw=-4.7  eff=+4.7  active=1
raw=-3.4  eff=+3.4  active=1
raw=-2.2  eff=+2.2  active=1
raw=-0.2  eff=+0.2  active=1
raw=+4.5  eff=-4.5  active=1
raw=+6.4  eff=-6.4  active=1
raw=+7.6  eff=-7.6  active=1
raw=+10.3  eff=-10.3  active=1
raw=+11.8  eff=-11.8  active=0
raw=+14.1  eff=-14.1  active=0
raw=+16.2  eff=-16.2  active=0
raw=+16.8  eff=-16.8  active=0
raw=+18.9  eff=-18.9  active=0
raw=+20.4  eff=-20.4  active=0
